method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABDPT_GPU (tuned),1373.3,66.1,53.6,32.950980392156865,0.6284769721842225,0.16047422950549478,0.05169636532497715,0.04144427543364651,0.05097601727600624,0.0,0.0,0.0,51.0,66416.46539208468,265.85550631728825,7210.567655214153,38.32571653209541,0.7089319749435308,0.7089319749435308,0.0,29.0,0.09569325110755256,0.07277918778729901,0.20907611840351592,32023.2285656929,57.323230028152466,6155.037720286846,39.45151534080505,0.7818462766072036,0.7818462766072036,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
CHIMERA (tuned + ensemble),1362.7,55.9,53.2,33.8921568627451,0.6175330597355221,0.16746278660053254,0.07171517208593567,0.046762955314354135,0.05170062262128541,0.0,1.0,0.0,50.0,2890.610516492058,5.987021979163675,1150.2055051629088,0.9390829833285855,0.7638346852571476,0.7638346852571476,0.0,36.0,0.0934048349768708,0.0808630817678605,0.21035196687370605,2245.643702507019,1.085916519165039,518.4647612375757,0.5218088032004838,0.8416447474367966,0.8416447474367966,0.0,hpo,tuned_ensemble,CHIMERA,ChimeraBoost,tabarena-2026-08-10
MNCA_GPU (tuned + ensemble),1360.6,71.7,58.3,34.07843137254902,0.6153670770633834,0.16516895309901775,0.058041824802412906,0.042296795023262154,0.06099628621066097,1.0,0.0,0.0,50.0,50606.46933756155,274.8289722134085,6202.203617271756,33.485812316978034,0.7225938705205147,0.7225938705205147,0.0,29.0,0.1002093534052485,0.07621117947921793,0.20689504347115373,14787.927460432053,13.568246603012085,4618.502341732761,7.734500125465747,0.740523566029344,0.740523566029344,0.0,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
TA-TABM (tuned),1360.2,58.6,51.1,34.11764705882353,0.6149110807113544,0.160083595162992,0.06033202562312942,0.039462464420562254,0.04854563625101292,0.0,0.0,1.0,50.0,23075.823507790472,0.9812663629943249,3532.70221350754,0.5683722772080194,0.7450340671128748,0.7450340671128748,0.0,32.0,0.1110960869350136,0.0875103303957094,0.20692308076319021,6753.3103930950165,0.40485572814941406,2462.0152230262756,0.2313083311953629,0.7868150684931278,0.7868150684931278,0.0,hpo,tuned,TA-TABM,TabM,tabarena-2026-06-26
TA-LIMIX (default),1353.6,85.5,64.8,34.705882352941174,0.6080711354309165,0.15775402904167526,0.049806490893701816,0.044672457463668824,0.0795760308681344,1.0,1.0,0.0,49.0,271.9402349883435,51.95340867603527,56.62423143114976,11.395806497195503,0.7200294790163883,0.7200294790163883,0.0,27.0,0.09791171056297887,0.08911423007185425,0.2093712542225128,82.7022213935852,9.385300397872925,27.325463414930336,6.109529595042384,0.7981660302080551,0.7981660302080551,0.0,config,default,TA-LIMIX,LimiX,tabarena-2026-05-13
XGB (tuned + ensemble),1348.1,44.3,44.5,35.205882352941174,0.6022571819425444,0.16744795562449247,0.06226623976265683,0.04258017586785556,0.036343475580077056,0.0,0.0,0.0,51.0,5938.998393348619,7.841493718764362,1213.3163052310745,3.0989261817010374,0.8086197601213221,0.8086197601213221,0.0,35.0,0.09658424392725218,0.10657993636512514,0.20932552259654813,2063.2708826065063,2.946662425994873,700.9607998746845,1.4381002715497562,0.8717027423312004,0.8717027423312004,0.0,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
CHIMERA (tuned),1341.0,57.6,57.1,35.85294117647059,0.594733242134063,0.1726199007855719,0.07200732537128904,0.0489467573583592,0.0626882431049498,1.0,0.0,1.0,49.0,2890.610516492058,0.5817884089899998,1150.2055051629088,0.08884505774600714,0.7776673112939511,0.7776673112939511,0.0,36.0,0.0956889605157133,0.08457106932693804,0.2121367521367521,2245.643702507019,0.09977912902832031,518.4647612375757,0.04521038266424518,0.8823269240004109,0.8823269240004109,0.0,hpo,tuned,CHIMERA,ChimeraBoost,tabarena-2026-08-10
CAT (default),1335.9,35.6,43.5,36.31372549019608,0.5893752849977201,0.16790143857661832,0.06852487494166831,0.04264186155246638,0.03815075291971203,0.0,0.0,1.0,50.0,103.6011841951632,0.15202934134240245,52.28975731533162,0.07970607598731966,0.8049777471531495,0.8049777471531495,0.0,34.0,0.09198543214426436,0.08144257117334332,0.2092404925356871,16.578909873962402,0.05088019371032715,5.805220015613909,0.024788761138916014,0.8583082297187903,0.8583082297187903,0.0,config,default,CAT,CatBoost,tabarena-2026-07-13
GBM (tuned),1335.2,45.9,44.8,36.38235294117647,0.5885772913816689,0.17021176165423854,0.06197048514027004,0.044700673086179143,0.032970827622050024,0.0,0.0,0.0,51.0,3051.8140357896395,3.3178744736839745,765.8082409622898,0.6785869099597016,0.8167007871272994,0.8167007871272994,0.0,35.0,0.11532588876363281,0.0991346259174066,0.20978825401159662,1670.2684843540192,0.7316880226135254,416.62818478752655,0.3811195826851199,0.8842400487762336,0.8842400487762336,0.0,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
MNCA_GPU (tuned),1333.0,57.8,56.0,36.57843137254902,0.586297309621523,0.1699997526240228,0.05741152418362064,0.04561096928421432,0.04023489256181446,0.0,0.0,0.0,51.0,50606.46933756155,14.969161491768032,6202.203617271756,1.669322546628637,0.7793866345398863,0.7793866345398863,0.0,34.0,0.10175193277367556,0.09245276964436491,0.20446769096654682,14787.927460432053,0.6251811981201172,4618.502341732761,0.46952933073043823,0.8334538382906559,0.8334538382906559,0.0,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
TA-TABSWIFT (default),1328.5,67.3,51.1,36.990196078431374,0.5815093479252166,0.17083829964162345,0.05937309508706118,0.03950918790101099,0.03957476982663479,0.0,0.0,0.0,51.0,19.78455920780406,1.278724707809149,4.8156390997470115,0.10047828181487667,0.7903370406425623,0.7903370406425623,0.0,36.0,0.11286750514114352,0.10418373863360235,0.20855432292087517,5.0883283615112305,0.17104506492614746,1.1859471422766672,0.06957077285618458,0.8452269857825015,0.8452269857825015,0.0,config,default,TA-TABSWIFT,TabSwift,tabarena-2026-07-13
XGB (tuned),1328.0,42.3,45.9,37.03921568627451,0.5809393524851801,0.1690499120381931,0.061297784822625545,0.04371272661639308,0.04101705371603635,0.0,1.0,0.0,50.0,5938.998393348619,1.6265712625840132,1213.3163052310745,0.698054007863544,0.8263916963035692,0.8263916963035692,0.0,37.0,0.11216921548647374,0.09777122617777795,0.20927136360385667,2063.2708826065063,0.5078930854797363,700.9607998746845,0.2127694573631899,0.9075170942032152,0.9075170942032152,0.0,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
XRFM_GPU (tuned + ensemble),1321.2,58.3,47.0,37.666666666666664,0.5736434108527132,0.17036533873113185,0.06331750937408137,0.04638391692058759,0.04155212900612815,0.0,1.0,0.0,50.0,14022.497099048951,27.070390402102003,1406.561756989208,4.732018848323726,0.783956679115603,0.783956679115603,0.0,33.0,0.10419926525614087,0.1041295204362952,0.20968345101227884,2211.918614625931,4.1532275676727295,866.1169883185313,2.0069414377212524,0.8321995464852633,0.8321995464852633,0.0,hpo,tuned_ensemble,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
TABPFNV2_GPU (tuned + ensemble),1311.8,67.8,68.5,38.53921568627451,0.5634974920200638,0.17765071396681403,0.05757456965789837,0.04784233603895549,0.04563020751098195,0.0,0.0,0.0,51.0,9280.937638614692,101.0832102392234,2836.5315057319253,48.195264406141796,0.7464520475668787,0.7464520475668787,0.35294117647058826,35.0,0.10100212291445176,0.11027457927369384,0.21666389261196228,1926.0209152698517,7.814479351043701,2943.3924917131662,17.365016988925518,0.871647963688488,0.871647963688488,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
