model,dataset_size,dataset,fold,test_score,Created
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,1,0.9035714285714288,2025-10-10T02:16:23.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,0,0.8089285714285714,2025-10-10T02:12:37.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,9,0.7296829044117648,2025-10-10T02:11:27.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,8,0.7431789981617647,2025-10-10T02:11:27.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.7387051930147059,2025-10-10T02:10:08.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,6,0.7581835937500001,2025-10-10T02:10:08.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.7354457720588236,2025-10-10T01:10:34.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,0.7451447610294117,2025-10-10T01:10:13.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.7431135110294117,2025-10-10T01:10:13.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,5,0.760625,2025-10-10T01:08:37.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,4,0.7274770220588236,2025-10-10T01:07:47.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.7567038143382352,2025-10-10T01:06:50.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,9,0.9318168468045112,2025-10-10T01:04:10.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,8,0.9180274906015036,2025-10-10T01:04:01.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,4,0.8807712640977444,2025-10-10T00:02:08.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,3,0.9169407894736842,2025-10-10T00:02:07.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,5,0.975578594924812,2025-10-10T00:02:07.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,2,0.9301133693609024,2025-10-10T00:02:06.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,6,0.9109639332706768,2025-10-10T00:01:12.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,7,0.901389215225564,2025-10-10T00:01:12.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,0,0.929437852443609,2025-10-09T23:59:53.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,1,0.9137394266917294,2025-10-09T23:59:53.000Z
